text,intent
Could you arrange transportation,concierge_taxi
Can't enter room,emergency
can you quiet them down,noise_complaint
Skip service,do_not_disturb
feel unsafe,emergency
Hangers few send,misc_request
I would like to adjust the lighting,lighting_control
Quiet karanna please,noise_complaint
bring me pillows,pillow_request
Turn off lights,lighting_control
Hot chocolate,food_order
can i get ice,misc_request
Laundry service want,laundry_service
broken,maintenance
Clean my room,room_cleaning
Food thiyanna,food_order
Door lock jammed,maintenance
Taxi karanna,concierge_taxi
Wake me at half past 6,wake_up_call
Send up some towels,towel_request
May I request room cleaning service,room_cleaning
AC on,temperature_control
Very hot no need AC please,temperature_control
I want conditioner,toiletries_request
Turn on the lamb,lighting_control
Sick feeling help,emergency
Too much noise,noise_complaint
Housekeeping please,room_cleaning
Turn off the lamb,lighting_control
quiet please,noise_complaint
Chest pain help,emergency
Fever very high,emergency
food want,food_order
Can i get body wash,toiletries_request
Pool location please,concierge_general
I want a wake up call,wake_up_call
Restaurant recommendations,concierge_general
Pool rules,concierge_general
Don't clean my room,do_not_disturb
Couple of pillows,pillow_request
May i file a noise complaint,noise_complaint
Vegetarian meal,food_order
Iron only,laundry_service
Wake up call want 8 am,wake_up_call
phone charger,misc_request
Turn off the lamp,lighting_control
The tap is leaking please,maintenance
I want my room cleaned,room_cleaning
Don't disturb me,do_not_disturb
Book taxi to air port please,concierge_taxi
I would like to request additional pillows,pillow_request
room service menu,food_order
Plumbing problem please,maintenance
Extend for two days,checkout_billing
I need firm pillows,pillow_request
Can I get ice please,misc_request
Can I get some tolls,towel_request
check out please,checkout_billing
Power adapter,misc_request
No housekeeping this morning please,do_not_disturb
Comforter needed,blanket_request
Can I get an extra blanket,blanket_request
May i request late checkout,checkout_billing
clean room tomorrow morning,room_cleaning
Wake me up at 7,wake_up_call
could you prepare my final bill,checkout_billing
Extra towels,towel_request
I need shampoo,toiletries_request
I lost my key,emergency
Send up pillows,pillow_request
can't sleep,noise_complaint
i need the receipt,checkout_billing
I want breakfast,food_order
I need laundry service,laundry_service
Clean room and make bed,room_cleaning
lost key,emergency
privacy,do_not_disturb
Could you please turn on the lights,lighting_control
Call me a cab,concierge_taxi
I need house keeping,room_cleaning
shampoo,toiletries_request
I need help,emergency
tree pillows,pillow_request
Blanket quickly,blanket_request
Get me a car,concierge_taxi
Privacy for whole day,do_not_disturb
Where is galle fort,concierge_general
The shower is broken,maintenance
Three soft pillows,pillow_request
Ac on karanna,temperature_control
warm up the room,temperature_control
Blanket want,blanket_request
Shopping malls location,concierge_general
Air conditioner making noise,maintenance
Can you clean the room,room_cleaning
need pillows,pillow_request
Bring me a blanket,blanket_request
Toilet paper and tissues,toiletries_request
Next room loud ah,noise_complaint
Can I order breakfast,food_order
I'm checking out,checkout_billing
Clean the room fast fast,room_cleaning
Prepare my bill,checkout_billing
Tomorrow morning 6 am call,wake_up_call
Could you bring extra bedding,blanket_request
fix this,maintenance
Call me at 6:15,wake_up_call
Laundry pickup thiyanna,laundry_service
I need soap,toiletries_request
extra blanket,blanket_request
No hot water,maintenance
Two more pillows,pillow_request
Breathing problem,emergency
Cleaning want now,room_cleaning
I want laundry service,laundry_service
do not disturb,do_not_disturb
Check out please,checkout_billing
I need transport,concierge_taxi
Towels want,towel_request
Too much noise,noise_complaint
when does the pool close,concierge_general
Extra blanket,blanket_request
I'm leaving,checkout_billing
No housekeeping this morning,do_not_disturb
Fire alarm,emergency
Food,food_order
Bring me a burger and fries,food_order
Dry cleaning needed,laundry_service
Bring me pillows,pillow_request
injury need help,emergency
cab,concierge_taxi
i need toilet paper,toiletries_request
Check out please,checkout_billing
Checkout karanna ona please,checkout_billing
restaurants nearby,concierge_general
Turn off lights,lighting_control
Light not working,maintenance
Light problem ah,maintenance
blanket,blanket_request
TV is broken,maintenance
Towels thiyanna,towel_request
Cold drinks,food_order
wake up call,wake_up_call
Iron and ironing board,misc_request
Make it cooler,temperature_control
Its too noisy,noise_complaint
charger,misc_request
Light not working,maintenance
Do not disturb karanna,do_not_disturb
can i get shampoo,toiletries_request
Can send breakfast,food_order
Three or four towels,towel_request
some extra towels,towel_request
soap please,toiletries_request
taxi now,concierge_taxi
Wool blanket,blanket_request
Gas leak,emergency
key lose kara,emergency
Dim the lights,lighting_control
I would like directions to local attractions,concierge_general
Light nut working,maintenance
Dinner ekak ona please,food_order
I want to towels,towel_request
People are being loud,noise_complaint
Soft pillows want ah,pillow_request
Bill ekak ona,checkout_billing
Wash and iron please,laundry_service
I need privacy,do_not_disturb
I can't sleep noise,noise_complaint
Turn off ceiling light please,lighting_control
Hangers ona,misc_request
Pillows want,pillow_request
privacy thiyanna,do_not_disturb
Bring toilet paper,toiletries_request
Mineral water,food_order
Warm duvet,blanket_request
Rome service please,food_order
housekeeping now,room_cleaning
Send up some towels,towel_request
loud at midnight,noise_complaint
taxi to airport,concierge_taxi
leaving,checkout_billing
Don't disturb me,do_not_disturb
Morning call thiyanna,wake_up_call
Soft pillows want ah,pillow_request
It's too hot,temperature_control
moisturizer needed,toiletries_request
May i file a noise complaint,noise_complaint
Full laundry bag,laundry_service
Doctor want fast,emergency
temperature adjust karanna,temperature_control
Could I order a sandwich,food_order
Wake me at seven,wake_up_call
Emergency,emergency
Its too noisy please,noise_complaint
Few towels needed,towel_request
press shirt,laundry_service
TV not working send someone please,maintenance
I'm hangry,food_order
hand wash needed,laundry_service
Main light on,lighting_control
6 am call,wake_up_call
more pillows,pillow_request
I'd like coffee,food_order
return by evening,laundry_service
Tourist places koheda,concierge_general
I'm leaving,checkout_billing
bring me pillows,pillow_request
too noisy,noise_complaint
I need house keeping,room_cleaning
What are the attractions,concierge_general
Morning call please,wake_up_call
heavy blanket please,blanket_request
I need more towels,towel_request
Shower ekka problem,maintenance
soft pillows,pillow_request
Full room cleaning please,room_cleaning
power adapter,misc_request
Local market where,concierge_general
pickup laundry,laundry_service
Fix karanna ona,maintenance
Noisy guests,noise_complaint
bring me dinner,food_order
main light on,lighting_control
repair needed,maintenance
alarm 8,wake_up_call
Injury need help,emergency
Wake me at 7 am,wake_up_call
Extra blanket,blanket_request
Emergency maintenance,maintenance
Don't disturb me,do_not_disturb
Hand sanitizer,toiletries_request
Air conditioned taxi,concierge_taxi
heating too high lower it,temperature_control
Pickup laundry please,laundry_service
Razors please,toiletries_request
Ironing board please,misc_request
I need another blanket,blanket_request
extra towels,towel_request
I need an iron,misc_request
hot,temperature_control
Can i get more pillows,pillow_request
Could you send up the menu,food_order
Emergency,emergency
face wash please,toiletries_request
I'm hungry,food_order
noise,noise_complaint
Orange juice,food_order
iron clothes,laundry_service
it's too warm,temperature_control
I want food,food_order
I need soap and shampoo,toiletries_request
brighten the room,lighting_control
Noise complaint,noise_complaint
i would like to request an additional blanket,blanket_request
Magazines,misc_request
7:45 wake up call,wake_up_call
Fridge not cooling,maintenance
Bring me pillows,pillow_request
Return by evening,laundry_service
What time is breakfast,concierge_general
I'm checking out,checkout_billing
cab to colombo,concierge_taxi
I want another pillow,pillow_request
wet wipes,toiletries_request
dim lights,lighting_control
Noise next door,noise_complaint
gas leak,emergency
Door lock jammed,maintenance
Clean the rome please,room_cleaning
wake me at half past 6,wake_up_call
