text,intent
can i get an extra blanket,blanket_request
the room is cold send a duvet please,blanket_request
i need another blanket for tonight,blanket_request
could you bring a warm blanket to my room,blanket_request
we need two more blankets please,blanket_request
im freezing can you send blankets,blanket_request
extra blankets to room three twenty please,blanket_request
the temperature is too cold we need more blankets,blanket_request
can you bring me a thick blanket,blanket_request
id like another duvet for my bed,blanket_request
send two blankets to my room right away,blanket_request
i need blankets im really cold tonight,blanket_request
could we get some warmer blankets please,blanket_request
the air conditioning is making it too cold send blankets,blanket_request
my room is freezing i need extra blankets,blanket_request
can you please bring additional blankets to my room,blanket_request
we need warmer bedding its quite chilly in here,blanket_request
send me a couple of extra blankets,blanket_request
im cold can i have another blanket,blanket_request
could you bring warmer blankets to room five oh one,blanket_request
i would like two more blankets for the bed,blanket_request
the blankets arent warm enough can you send thicker ones,blanket_request
bring some extra duvets to my room please,blanket_request
can i get warmer blankets we are cold,blanket_request
id like to request additional blankets for my room,blanket_request
send blankets to room two eighteen immediately,blanket_request
its cold in here i need more blankets,blanket_request
could you please bring me extra blankets,blanket_request
we need thicker blankets the ones here are too thin,blanket_request
can someone bring extra blankets soon,blanket_request
the room temperature is low bring extra blankets,blanket_request
id appreciate some additional blankets for tonight,blanket_request
can you send warmer duvets to my room,blanket_request
im shivering can you bring blankets,blanket_request
could you bring two extra blankets please,blanket_request
the bed needs more blankets its too cold,blanket_request
send extra bedding to my room right now,blanket_request
can i have another blanket the room is chilly,blanket_request
would you send some warmer blankets to my room,blanket_request
im cold please bring extra blankets,blanket_request
could you bring thicker blankets to my room,blanket_request
the blankets provided are not warm enough,blanket_request
send me some blankets im freezing,blanket_request
can you bring extra blankets to room four oh nine,blanket_request
i need more blankets for warmth tonight,blanket_request
could we get additional duvets brought to our room,blanket_request
the room is too cold for the thin blankets,blanket_request
bring warmer blankets to my room please,blanket_request
send blankets to my room immediately im very cold,blanket_request
can i request some extra blankets,blanket_request
would you bring me thicker blankets,blanket_request
i would like extra blankets delivered to my room,blanket_request
the blankets here are insufficient can you send more,blanket_request
im too cold please bring extra blankets soon,blanket_request
can you send me warmer bedding blankets,blanket_request
im freezing can someone bring me a blanket,blanket_request
send extra blankets to room two twelve,blanket_request
its too cold in here i need blankets,blanket_request
can you bring me a duvet,blanket_request
i would like two additional blankets please,blanket_request
the room feels really cold we need more blankets,blanket_request
could you please send up some extra blankets,blanket_request
we are cold can we get another blanket,blanket_request
bring me a warm blanket as soon as possible,blanket_request
id like to request some extra blankets for my room,blanket_request
im very cold please send blankets immediately,blanket_request
can you send a couple of blankets up,blanket_request
the temperature is low can you bring blankets,blanket_request
i need warmer blankets for tonight please,blanket_request
could you deliver some extra blankets to my room,blanket_request
we dont have enough blankets its freezing,blanket_request
send up two blankets right away,blanket_request
can i get a heavier blanket,blanket_request
the duvet is too thin can you bring another one,blanket_request
im shivering can someone bring me blankets,blanket_request
could we have some warmer blankets please,blanket_request
bring extra blankets to room three oh five,blanket_request
i need more blankets the room is too cold,blanket_request
can you send blankets to my room right now,blanket_request
wed like some additional blankets for warmth,blanket_request
the blankets here arent warm enough,blanket_request
send me some thick blankets please,blanket_request
