clean_text,vosk_text,intent,changed
can i get an extra blanket,can i get an extra blanket,blanket_request,False
the room is cold send a duvet please,the room is cool center do way please,blanket_request,True
i need another blanket for tonight,i need another blanket for tonight,blanket_request,False
could you bring a warm blanket to my room,could you bring a warm blanket to my room,blanket_request,False
we need two more blankets please,we need two more blankets please,blanket_request,False
im freezing can you send blankets,i'm freezing can you send blankets,blanket_request,True
extra blankets to room three twenty please,extra blankets to room three twenty piece,blanket_request,True
the temperature is too cold we need more blankets,the temperature is too cold we need more blankets,blanket_request,False
can you bring me a thick blanket,can you bring me a thick blanket,blanket_request,False
id like another duvet for my bed,like to another do way for my bed,blanket_request,True
send two blankets to my room right away,sent to blankets to my room right away,blanket_request,True
i need blankets im really cold tonight,i need blankets i'm really cold tonight,blanket_request,True
could we get some warmer blankets please,could we get some warmer blankets please,blanket_request,False
the air conditioning is making it too cold send blankets,the air conditioning is making it to colds and blankets,blanket_request,True
my room is freezing i need extra blankets,my room is freezing i need extra blankets,blanket_request,False
can you please bring additional blankets to my room,can you please bring additional blankets to my room,blanket_request,False
we need warmer bedding its quite chilly in here,we need warmer bedding it's quite chilly in here,blanket_request,True
send me a couple of extra blankets,send me a couple of extra blankets,blanket_request,False
im cold can i have another blanket,i'm cold can i have another blanket,blanket_request,True
could you bring warmer blankets to room five oh one,could you bring warmer blankets to rome five oh one,blanket_request,True
i would like two more blankets for the bed,i would like to more blankets for the bed,blanket_request,True
the blankets arent warm enough can you send thicker ones,the blankets aren't warm enough can you send ticker ones,blanket_request,True
bring some extra duvets to my room please,bring some extra do ways to my room keys,blanket_request,True
can i get warmer blankets we are cold,can i get warmer blankets real cold,blanket_request,True
id like to request additional blankets for my room,id like to request additional blankets for my room,blanket_request,False
send blankets to room two eighteen immediately,send blankets to room to a team immediately,blanket_request,True
its cold in here i need more blankets,it's cold in here i need more blankets,blanket_request,True
could you please bring me extra blankets,could you please bring me extra blankets,blanket_request,False
we need thicker blankets the ones here are too thin,we need thicker blankets the ones here too thin,blanket_request,True
can someone bring extra blankets soon,can someone bring extra blankets soon,blanket_request,False
the room temperature is low bring extra blankets,the room temperature is low bring extra blankets,blanket_request,False
id appreciate some additional blankets for tonight,appreciate some additional blankets for tonight,blanket_request,True
can you send warmer duvets to my room,can you send warmer do ways to my room,blanket_request,True
im shivering can you bring blankets,i'm shivering can you bring blankets,blanket_request,True
could you bring two extra blankets please,could you bring two extra blankets please,blanket_request,False
the bed needs more blankets its too cold,the bed needs more blankets it's too cold,blanket_request,True
send extra bedding to my room right now,send extra bedding to my room right now,blanket_request,False
can i have another blanket the room is chilly,you know i have another blanket the room is chile,blanket_request,True
would you send some warmer blankets to my room,would you send some warmer blankets to my room,blanket_request,False
im cold please bring extra blankets,i'm cold please bring extra blankets,blanket_request,True
could you bring thicker blankets to my room,could you bring figure blankets to my room,blanket_request,True
the blankets provided are not warm enough,the blankets provided or not warm enough,blanket_request,True
send me some blankets im freezing,send me some blankets i'm freezing,blanket_request,True
can you bring extra blankets to room four oh nine,can you bring extra blankets to room for own nine,blanket_request,True
i need more blankets for warmth tonight,i need more blankets for wants to night,blanket_request,True
could we get additional duvets brought to our room,could we get additional do ways brought to our room,blanket_request,True
the room is too cold for the thin blankets,the room is too cold for the thin blanket,blanket_request,True
bring warmer blankets to my room please,bring warmer blankets to my room peace,blanket_request,True
send blankets to my room immediately im very cold,send blankets to my room immediately i am very cold,blanket_request,True
can i request some extra blankets,can i request some extra blankets,blanket_request,False
would you bring me thicker blankets,would you bring me thicker blankets,blanket_request,False
i would like extra blankets delivered to my room,i would like extra blankets delivered to my room,blanket_request,False
the blankets here are insufficient can you send more,the blankets here are insufficient can you send more,blanket_request,False
im too cold please bring extra blankets soon,i'm too cold please bring extra blankets soon,blanket_request,True
can you send me warmer bedding blankets,can you send me warm of bedding blankets,blanket_request,True
im freezing can someone bring me a blanket,i'm freezing can someone bring me a blanket,blanket_request,True
send extra blankets to room two twelve,send extra blankets to room to twelve,blanket_request,True
its too cold in here i need blankets,it's too cold in here i need blankets,blanket_request,True
can you bring me a duvet,can you bring me a way,blanket_request,True
i would like two additional blankets please,i would like to additional blankets peace,blanket_request,True
the room feels really cold we need more blankets,the room feels really cold we need more blankets,blanket_request,False
