text,intent
could you arrange transportation,concierge_taxi
couldyou arrange transportation,concierge_taxi
cud you arrange transportation,concierge_taxi
could you arange transportation,concierge_taxi
can't enter room,emergency
cant enter room,emergency
can you quiet them down,noise_complaint
canyou quiet them down,noise_complaint
can u quiet them down,noise_complaint
skip service,do_not_disturb
skip servic,do_not_disturb
skip servis,do_not_disturb
skipservice,do_not_disturb
feel unsafe,emergency
hangers few send,misc_request
i would like to adjust the lighting,lighting_control
i wud like to adjust the lighting,lighting_control
iwould like to adjust the lighting,lighting_control
i would like adjust lighting,lighting_control
quiet karanna please,noise_complaint
quietkaranna please,noise_complaint
quiet kaanna please,noise_complaint
quiet karanna pls,noise_complaint
bring me pillows,pillow_request
bring pillows,pillow_request
bring me pilos,pillow_request
turn off lights,lighting_control
turn off lighs,lighting_control
turn lights,lighting_control
turnoff lights,lighting_control
hot chocolate,food_order
hotchocolate,food_order
can i get ice,misc_request
laundry service want,laundry_service
laundryservice want,laundry_service
laundry servis want,laundry_service
broken,maintenance
clean my room,room_cleaning
cleanmy room,room_cleaning
food thiyanna,food_order
foodthiyanna,food_order
door lock jammed,maintenance
taxi karanna,concierge_taxi
taxikaranna,concierge_taxi
wake me at half past 6,wake_up_call
wake me half past 6,wake_up_call
wakeme at half past 6,wake_up_call
send up some towels,towel_request
sendup some towels,towel_request
may i request room cleaning service,room_cleaning
mayi request room cleaning service,room_cleaning
may i request room cleaning servis,room_cleaning
may i request room cleaning servic,room_cleaning
ac on,temperature_control
very hot no need ac please,temperature_control
very hot no need ac pleas,temperature_control
veryhot no need ac please,temperature_control
very hot no need ac pleez,temperature_control
i want conditioner,toiletries_request
turn on the lamb,lighting_control
turn the lamb,lighting_control
sick feeling help,emergency
sickfeeling help,emergency
too much noise,noise_complaint
housekeeping please,room_cleaning
housekeeping pls,room_cleaning
housekeeping pleez,room_cleaning
housekeepingplease,room_cleaning
turn off the lamb,lighting_control
turn off lamb,lighting_control
quiet please,noise_complaint
quiet pleas,noise_complaint
quiet pleez,noise_complaint
chest pain help,emergency
chestpain help,emergency
cest pain help,emergency
fever very high,emergency
feververy high,emergency
feer very high,emergency
food want,food_order
foodwant,food_order
can i get body wash,toiletries_request
cani get body wash,toiletries_request
pool location please,concierge_general
pool location pleas,concierge_general
poollocation please,concierge_general
i want a wake up call,wake_up_call
i want wake up call,wake_up_call
iwant a wake up call,wake_up_call
restaurant recommendations,concierge_general
pool rules,concierge_general
poolrules,concierge_general
don't clean my room,do_not_disturb
don'tclean my room,do_not_disturb
couple of pillows,pillow_request
coupleof pillows,pillow_request
couple of pilos,pillow_request
may i file a noise complaint,noise_complaint
mayi file a noise complaint,noise_complaint
may i file noise complaint,noise_complaint
vegetarian meal,food_order
vegetarianmeal,food_order
iron only,laundry_service
wake up call want 8 am,wake_up_call
wakeup call want 8 am,wake_up_call
phone charger,misc_request
turn off the lamp,lighting_control
turn off lamp,lighting_control
turnoff the lamp,lighting_control
the tap is leaking please,maintenance
thetap is leaking please,maintenance
the tap is leaking pleez,maintenance
