text,intent
I want my room cleaned,room_cleaning
Please clean my room,room_cleaning
Can you clean the room,room_cleaning
I need housekeeping,room_cleaning
Make my bed please,room_cleaning
Tidy up my room,room_cleaning
I won't get my room cleaned,room_cleaning
Room needs cleaning,room_cleaning
Send housekeeping,room_cleaning
Clean the room please,room_cleaning
I'd like housekeeping service,room_cleaning
The room needs to be cleaned,room_cleaning
Can someone clean my room,room_cleaning
I need the maid,room_cleaning
Send someone to clean,room_cleaning
My room is messy,room_cleaning
Please tidy the room,room_cleaning
Housekeeping please,room_cleaning
I want housekeeping,room_cleaning
Clean my room now,room_cleaning
Can you make the bed,room_cleaning
Please make my bed,room_cleaning
I need the bed made,room_cleaning
Change my sheets,room_cleaning
I need fresh sheets,room_cleaning
Replace the bedding,room_cleaning
New sheets please,room_cleaning
Change the bed sheets,room_cleaning
Fresh bedding please,room_cleaning
Can I get clean sheets,room_cleaning
I need two towels,towel_request
Can I get some towels,towel_request
Bring me towels please,towel_request
I need more towels,towel_request
Three towels please,towel_request
Extra towels,towel_request
I need too towers,towel_request
Send up some towels,towel_request
Can I have towels,towel_request
I need fresh towels,towel_request
More towels please,towel_request
Bring towels,towel_request
I need clean towels,towel_request
Four towels please,towel_request
Send me towels,towel_request
Can you bring towels,towel_request
I want more towels,towel_request
Additional towels please,towel_request
I need bath towels,towel_request
Bring me some towers,towel_request
I need hand towels,towel_request
Extra bath towels,towel_request
Can I get extra towels,towel_request
Five towels please,towel_request
Send towels to my room,towel_request
I need toilet paper,toiletries_request
Can I get toilet paper,toiletries_request
Bring toilet paper,toiletries_request
I need more toilet paper,toiletries_request
Send toilet paper,toiletries_request
Toilet paper please,toiletries_request
I need shampoo,toiletries_request
Can I get shampoo,toiletries_request
Bring shampoo please,toiletries_request
I need conditioner,toiletries_request
Send soap please,toiletries_request
I need soap,toiletries_request
Bring me soap,toiletries_request
I need shower gel,toiletries_request
Can I get body wash,toiletries_request
I need a toothbrush,toiletries_request
Toothbrush please,toiletries_request
I need toothpaste,toiletries_request
Can I get toothpaste,toiletries_request
I need a razor,toiletries_request
Bring me a razor,toiletries_request
I need shaving cream,toiletries_request
Can I get toiletries,toiletries_request
I need bathroom supplies,toiletries_request
Send bathroom amenities,toiletries_request
Can I order breakfast,food_order
I'm hungry,food_order
Room service please,food_order
I want to order food,food_order
Bring me dinner,food_order
Can I get lunch,food_order
Order room service,food_order
I'd like to eat,food_order
Send up some food,food_order
I want breakfast,food_order
I need food,food_order
Can I order lunch,food_order
I want dinner,food_order
Room service menu,food_order
I'd like to order,food_order
Bring me food,food_order
I want to order a meal,food_order
Can I get room service,food_order
Order food please,food_order
I'm starving,food_order
I need something to eat,food_order
Can I order a sandwich,food_order
I want a burger,food_order
Bring me pizza,food_order
I'd like coffee,food_order
Can I get coffee,food_order
Send up coffee,food_order
I need coffee,food_order
Coffee please,food_order
Bring me tea,food_order
I want tea,food_order
Can I get tea,food_order
Tea please,food_order
I need water,food_order
Bring me water,food_order
Can I get water,food_order
Bottled water please,food_order
I need drinks,food_order
Can I get beverages,food_order
I want a drink,food_order
Bring me juice,food_order
Orange juice please,food_order
I need breakfast in bed,food_order
Continental breakfast please,food_order
I want eggs,food_order
Can I get pancakes,food_order
Bring me toast,food_order
I need fruit,food_order
It's too hot,temperature_control
Turn on AC,temperature_control
Air conditioning please,temperature_control
It's cold,temperature_control
Adjust temperature,temperature_control
Turn off heating,temperature_control
Change thermostat,temperature_control
Make it cooler,temperature_control
I need AC,temperature_control
Turn up the AC,temperature_control
It's too warm,temperature_control
Can you lower the temperature,temperature_control
I'm hot,temperature_control
I'm cold,temperature_control
Increase the heat,temperature_control
Turn on the heater,temperature_control
Make it warmer,temperature_control
The room is too hot,temperature_control
The room is too cold,temperature_control
Adjust the thermostat,temperature_control
Can you change the temperature,temperature_control
I need the AC on,temperature_control
Turn down the heat,temperature_control
Make it less cold,temperature_control
The AC is too strong,temperature_control
Turn off the air conditioning,temperature_control
The heating is too high,temperature_control
Can you adjust the climate,temperature_control
The AC is not working,maintenance
TV is broken,maintenance
